Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
0	album	Weezer (White Album)	Weezer	None	Thank God for Girls	pop rock	2016	https://p.scdn.co/mp3-preview/33cd42e2f06b0959901dc6b7052dd6bcb05d30c0
1	single	Hero	Weezer	None	Hero	pop rock	2020	https://p.scdn.co/mp3-preview/b80c8433159195f654287273ea1bc981ff50b539
2	single	Reflection	Makari	None	Reflection	pop punk	2020	https://p.scdn.co/mp3-preview/9f2707403f73fc12f0844dc3a7d619c89f1eecd0
3	single	Bombegranate	Berried Alive	None	Bombegranate	djent	2020	https://p.scdn.co/mp3-preview/0fa174b438e5a71db9b4731acd1ce341193b9f48
4	album	Raised in a Doomsday Cult	Good Tiger	None	Ghost Vomit	djent	2020	https://p.scdn.co/mp3-preview/9714b215415ce8793416bc12712defcb0f008276
5	album	Empty Black	Greyhaven	None	Echo and Dust Pt. I	progressive metalcore	2018	https://p.scdn.co/mp3-preview/1f0aa582e90585186efccbc7fc9937405573e952
6	single	Let Go	Makari	None	Let Go	pop punk	2020	https://p.scdn.co/mp3-preview/97c2ed98354e2808e5bc5bb0e83fea59754f0f7b
7	album	The Ritual	King Mothership	None	Cosmic Meltdown	None	2020	https://p.scdn.co/mp3-preview/5cde556cbd631adbc120063cb8c57b1920b708ad
8	single	Awe at All Angles (Acoustic)	Moon Tooth	None	Awe at All Angles - Acoustic	proggressive metal	2020	https://p.scdn.co/mp3-preview/dc2fd44890a84ed78898c0287e9e8321305d879b
9	single	I Can't Remember Love	Anna Hauss	Robert Wienroder, William Horberg	I Can't Remember Love	None	2020	https://p.scdn.co/mp3-preview/894f86cdb510d4833498fffeb73be9f1cd901878
10	album	19	Adele	None	Make You Feel My Love	pop	2008	https://p.scdn.co/mp3-preview/5b3bfc4c3b98df595f623e86bc0296016030ce20
11	album	Freeze Frame	The J. Geils Band	None	Centerfold	classic rock	1981	https://p.scdn.co/mp3-preview/e5360d177e1076cdf32a915a9e062bc4172a16c7
12	album	Freeze Frame	The J. Geils Band	None	Freeze-Frame	classic rock	1981	https://p.scdn.co/mp3-preview/053a851d0603554752be64c2601d38eb6b7024c0
13	album	1000 gecs and The Tree of Clues	100 gecs	Fall Out Boy, Craig Owens, Nicole Dollanganger	hand crushed by a mallet (Remix)	hyperpop	2020	https://p.scdn.co/mp3-preview/a5ed1b06ace4e5035c1a7e9d43871c84b8c11484
14	single	Running Out (Live From The Studio)	Astrid S	None	Running Out - Live From The Studio	electropop	2016	https://p.scdn.co/mp3-preview/bb9d2ea7ac5224c9507e9190900b2ca2cadf8e83
15	single	Real	Unprocessed	Tim Henson, Clay Gober	Real	djent	2020	https://p.scdn.co/mp3-preview/3011a4d543fca575e3f89bdb80f80c559161a96c
16	single	The Eyes on You	Hotel Mira	None	The Eyes on You	modern alternative rock	2019	https://p.scdn.co/mp3-preview/877a6d5f19769e9221b4f97047243ab825a21663
17	album	Circulation	Hotel Mira	None	Southern Comforting	modern alternative rock	2014	https://p.scdn.co/mp3-preview/d3fe9a538d3e3423e86ecfd8c03f1d6a4355ccb0
18	album	XX	Great Big Sea	None	Consequence Free	celtic rock	2012	https://p.scdn.co/mp3-preview/f3e623f6916efd8c400465a2ae247ed732440864
